id,question,expected_answerable,category,technology,expected_source,gold_evidence,label_reason
T006,How do I install VMware ESXi on a physical server?,false,technical_virtualization,VMware ESXi,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T007,How do I add an ESXi host to VMware vCenter?,false,technical_virtualization,VMware vCenter,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T008,How do I create a virtual machine in Proxmox VE?,false,technical_virtualization,Proxmox VE,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T009,How do I create a virtual machine in XenServer?,false,technical_virtualization,XenServer,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T010,How do I configure Hyper-V Replica between two hosts?,false,technical_virtualization,Hyper-V Replica,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T011,How do I create a declarative pipeline in Jenkins?,false,technical_devops,Jenkins,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T012,How do I register a runner for GitLab CI/CD?,false,technical_devops,GitLab CI/CD,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T013,How do I configure a build agent in TeamCity?,false,technical_devops,TeamCity,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T014,How do I create a deployment plan in Atlassian Bamboo?,false,technical_devops,Atlassian Bamboo,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T015,How do I synchronize an application with Argo CD?,false,technical_devops,Argo CD,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T016,How do I configure a MariaDB Galera Cluster?,false,technical_database,MariaDB Galera Cluster,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T017,How do I create a database and table space in IBM Db2?,false,technical_database,IBM Db2,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T018,How do I configure PostgreSQL streaming replication?,false,technical_database,PostgreSQL Streaming Replication,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T019,How do I register a Linux server with Red Hat Satellite?,false,technical_system_administration,Red Hat Satellite,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T020,How do I create and launch a job template in Ansible Tower?,false,technical_automation,Ansible Tower,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T021,How do I deploy an agent with Puppet Enterprise?,false,technical_automation,Puppet Enterprise,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T022,How do I bootstrap a node with Chef Infra?,false,technical_automation,Chef Infra,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T023,How do I create a project in Red Hat OpenShift?,false,technical_containers,Red Hat OpenShift,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T024,How do I import a Kubernetes cluster into Rancher?,false,technical_containers,Rancher,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T025,How do I submit a job to a HashiCorp Nomad cluster?,false,technical_containers,HashiCorp Nomad,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T026,How do I build and run a container using Podman?,false,technical_containers,Podman,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T027,How do I configure a host for monitoring in Zabbix?,false,technical_monitoring,Zabbix,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T028,How do I define a service check in Nagios Core?,false,technical_monitoring,Nagios,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T029,How do I create a log input in Graylog?,false,technical_logging,Graylog,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T030,How do I create an index and ingest logs into Splunk Enterprise?,false,technical_logging,Splunk Enterprise,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
