id,question,expected_answerable,category,technology,expected_source,gold_evidence,label_reason,number_of_results,top1_reranker_score,top2_reranker_score,reranker_margin,top1_cosine_similarity,top1_rrf_score,mean_top_k_reranker_score,supporting_results_count,top1_source,top1_chunk_id,top1_hybrid_rank,top1_vector_rank,top1_bm25_rank,embedding_time_ms,hybrid_retrieval_time_ms,reranking_time_ms,total_time_ms
Q011,What is a cost model in the Azure Well-Architected Framework?,true,azure_answerable,Microsoft Azure,markdown\well-architected__cost-optimization__cost-model.md,A cost model is an estimate that predicts the combined costs of services and their associated expenses.,Une source et une preuve de référence existent dans le corpus.,5,0.99770701,0.1338394,0.86386761,0.87436492,0.0325224749,0.27241583,1,well-architected__cost-optimization__cost-model.md,fixed__1024__well-architected__cost-optimization__cost-model.md__chunk_0,2,2,1,74.4939,104.6372,7050.0498,7229.1875
Q012,Which events can interrupt long-running HPC jobs?,true,azure_answerable,Microsoft Azure,markdown\well-architected__hpc__hpc-design-principles.md,"Long-running HPC jobs are vulnerable to infrastructure failures, spot evictions, and maintenance events.",Une source et une preuve de référence existent dans le corpus.,5,0.96709913,0.10458221,0.86251692,0.85700245,0.0325224749,0.23977035,1,well-architected__hpc__hpc-design-principles.md,fixed__1024__well-architected__hpc__hpc-design-principles.md__chunk_1,1,2,1,74.8442,90.0696,7256.5922,7421.5121
Q013,What kinds of resources are included in the Azure Architecture Center?,true,azure_answerable,Microsoft Azure,html\en-us-azure-architecture-777fa9b92470.html,"Azure Architecture Center is a catalog of solution ideas, example workloads, reference architectures, technology decision guides, and architecture guides for Azure workloads.",Une source et une preuve de référence existent dans le corpus.,5,0.83613974,0.71747774,0.118662,0.86912753,0.0320020481,0.37401035,2,en-us_azure_architecture.html,fixed__1024__en-us_azure_architecture.html__chunk_0,2,2,3,96.782,126.5455,8000.3778,8223.7096
Q014,What does the Azure Architecture Center help architects explore when building Azure workloads?,true,azure_answerable,Microsoft Azure,html\en-us-azure-architecture-777fa9b92470.html,Explore best practices and patterns for building workloads on Microsoft Azure.,Une source et une preuve de référence existent dans le corpus.,5,0.99801362,0.99731511,0.00069851,0.88041729,0.0322580645,0.90551647,5,en-us_azure_architecture.html,fixed__1024__en-us_azure_architecture.html__chunk_0,2,2,2,93.7614,104.0224,6330.4316,6528.2216
Q015,What capabilities does Microsoft Foundry provide for generative AI development?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_ai-ml.html,"Microsoft Foundry provides access to a model catalog, agent hosting through Foundry Agent Service, fine-tuning, evaluation tools, and responsible AI capabilities.",Une source et une preuve de référence existent dans le corpus.,5,0.98185754,0.75954825,0.22230929,0.85955742,0.0325224749,0.62068098,3,en-us_azure_architecture_ai-ml.html,fixed__1024__en-us_azure_architecture_ai-ml.html__chunk_1,1,2,1,102.3345,98.1207,6865.6276,7066.0888
Q016,Which open-source frameworks are supported by Azure Machine Learning?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_ai-ml.html,"Azure Machine Learning supports open-source frameworks like PyTorch, TensorFlow, and scikit-learn.",Une source et une preuve de référence existent dans le corpus.,5,0.99863869,0.99537081,0.00326788,0.85775628,0.0325224749,0.77216386,4,en-us_azure_architecture_ai-ml.html,fixed__1024__en-us_azure_architecture_ai-ml.html__chunk_2,1,1,2,96.8008,119.1323,6702.2422,6918.1809
Q017,What type of platform is Microsoft Copilot Studio?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_ai-ml.html,"A low-code platform for building, customizing, and deploying AI-powered agents.",Une source et une preuve de référence existent dans le corpus.,5,0.83867931,0.49353683,0.34514248,0.84651869,0.0327868852,0.35799128,1,en-us_azure_architecture_ai-ml.html,fixed__1024__en-us_azure_architecture_ai-ml.html__chunk_2,1,1,1,89.8803,100.0666,5974.2992,6164.2512
Q018,Which factors should be considered when choosing a database for an Azure workload?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_data-guide.html,"The right database for your scenario depends on your data model, consistency requirements, query patterns, and operational preferences.",Une source et une preuve de référence existent dans le corpus.,5,0.96261263,0.88607609,0.07653654,0.87069232,0.0306217859,0.58925407,3,en-us_azure_architecture_data-guide.html,fixed__1024__en-us_azure_architecture_data-guide.html__chunk_0,2,2,9,98.8945,99.0736,6913.3401,7111.3132
Q019,Which database deployment models are included in the Azure database portfolio?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_data-guide.html,"The Azure database portfolio spans fully managed platform as a service (PaaS) offerings, infrastructure as a service (IaaS) options, and specialized services for specific workload patterns.",Une source et une preuve de référence existent dans le corpus.,5,0.98778665,0.80064327,0.18714339,0.84341704,0.0320020481,0.68734133,4,en-us_azure_architecture_data-guide.html,fixed__1024__en-us_azure_architecture_data-guide.html__chunk_0,2,3,2,97.5511,91.2364,6298.6202,6487.413
Q020,Why can Azure cloud design patterns be used outside Azure?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_patterns.html,"The following cloud design patterns are technology-agnostic, which makes them suitable for any distributed system.",Une source et une preuve de référence existent dans le corpus.,5,0.96443951,0.93287998,0.03155953,0.85520306,0.0315449578,0.86475115,5,en-us-azure-architecture-patterns-2da035768373.html,fixed__1024__en-us-azure-architecture-patterns-2da035768373.html__chunk_1,1,6,1,72.3719,98.3361,6971.2764,7141.991
Q021,What should guide the selection of a cloud design pattern?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_patterns.html,"Choose a pattern based on the problem you need to solve, not the technology you want to use.",Une source et une preuve de référence existent dans le corpus.,5,0.78738058,0.59366208,0.19371849,0.88276274,0.0255677545,0.48464343,3,en-us_azure_architecture_patterns.html,fixed__1024__en-us_azure_architecture_patterns.html__chunk_0,10,1,49,77.1296,87.7547,6779.0498,6943.94
Q022,What information can users find when browsing Azure architectures?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_browse.html,"Find architecture diagrams and technology descriptions for reference architectures, real world examples of cloud architectures, and solution ideas for common workloads on Azure.",Une source et une preuve de référence existent dans le corpus.,5,0.99377006,0.92955798,0.06421208,0.85527289,0.0322664585,0.65235868,3,en-us_azure_architecture_browse.html,fixed__1024__en-us_azure_architecture_browse.html__chunk_0,1,3,1,88.7775,119.9505,6726.7329,6935.4668
Q023,Does cloud adoption require an organization to move all applications out of its local datacenter?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,"the cloud is not an “either/or” proposition. It is certainly possible, and indeed in many cases desirable, to leave some applications running in a local, traditional datacenter while others are moved to the cloud.",Une source et une preuve de référence existent dans le corpus.,5,0.94838977,0.41843691,0.52995285,0.83708341,0.0314980159,0.33480499,1,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_16__chunk_0,1,4,3,100.1421,99.3271,6189.8621,6389.3372
Q024,What are the five modernization approaches described in Enterprise Cloud Strategy?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,"the most convenient way to think about modernization, which is commonly called “the five R’s”",Une source et une preuve de référence existent dans le corpus.,5,0.73758322,0.36988351,0.36769971,0.83046581,0.0294181268,0.36961472,1,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_115__chunk_0,5,9,7,118.216,161.7867,5915.2825,6195.2906
Q025,What does rehosting a legacy application involve?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,"Rehosting involves keeping the same basic functionality, but moving it to the cloud where it is easier to manage and less expensive to run.",Une source et une preuve de référence existent dans le corpus.,5,0.99633718,0.99240208,0.0039351,0.88401789,0.0327868852,0.53407135,3,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_31__chunk_1,1,1,1,98.8077,103.6026,6958.3236,7160.7528
Q026,What initial responsibility was assigned to the Cloud Strategy Team?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,The Cloud Strategy Team was chartered to lead the cloud analysis and experimentation phase previously described (see Figure 5-2).,Une source et une preuve de référence existent dans le corpus.,5,0.70720571,0.64581478,0.06139094,0.83302444,0.0294691224,0.57959908,4,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_44__chunk_2,6,5,11,75.2352,87.3714,6260.9994,6423.6105
Q027,What type of storage service is Azure Table Storage?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,"Azure Table storage, a NoSQL key-value persistent medium for storing semi-structured data.",Une source et une preuve de référence existent dans le corpus.,5,0.91570795,0.83211899,0.08358896,0.85487093,0.0320184426,0.78507626,5,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_38__chunk_1,1,4,1,76.6422,94.4501,7331.7783,7502.8755
Q028,How does a SendGrid output binding authenticate when sending emails?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,The SendGrid output (message) bindings will use the API key provided in the App settings to invoke the required APIs of the SendGrid library in order to send the emails.,Une source et une preuve de référence existent dans le corpus.,5,0.99842715,0.9970988,0.00132835,0.91154819,0.0327868852,0.99303887,5,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_63__chunk_1,1,1,1,85.0806,82.6654,6406.6655,6574.4171
Q029,What kind of Azure service is Azure Data Factory?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,Azure Data Factory is another cloud-native serverless solution from Microsoft Azure.,Une source et une preuve de référence existent dans le corpus.,5,0.98250914,0.94630623,0.03620291,0.88010175,0.0325224749,0.76904286,4,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_112__chunk_0,1,1,2,81.4368,111.0239,5389.6327,5582.098
Q030,Why can precompiled Azure Functions provide better performance?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,"Precompiled functions have better performance, as they aren't required to be compiled on the fly.",Une source et une preuve de référence existent dans le corpus.,5,0.99887496,0.8900373,0.10883766,0.89456362,0.0327868852,0.55808305,3,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_145__chunk_0,1,1,1,103.4458,117.2488,7531.6322,7752.335
T001,How do I configure a VLAN on a Cisco IOS switch?,false,technical_networking,Cisco IOS,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.07688442,0.07325046,0.00363396,0.79485467,0.0153846154,0.04393838,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_370__chunk_1,13,5,,97.7786,100.4903,5529.4242,5727.6986
T002,How do I configure OSPF routing on Juniper JunOS?,false,technical_networking,Juniper JunOS,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00723104,0.00483313,0.00239791,0.78747958,0.0243937854,0.00393306,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_371__chunk_1,5,11,37,76.9602,85.1395,6815.7436,6977.8499
T003,How do I create a firewall rule in MikroTik RouterOS?,false,technical_networking,MikroTik RouterOS,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.04715298,0.03468534,0.01246764,0.79018083,0.0275009228,0.02505126,0,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_37,4,26,3,82.0733,97.3291,5780.0226,5959.4299
T004,How do I configure an IPsec VPN on a FortiGate firewall?,false,technical_network_security,FortiGate,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.056038,0.02521805,0.03081995,0.80595704,0.0308861962,0.0237527,0,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_87__chunk_0,1,9,1,75.9785,89.4178,6694.6679,6860.0692
T005,How do I configure a site-to-site VPN with pfSense?,false,technical_network_security,pfSense,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.46947181,0.46076417,0.00870764,0.82110549,0.0317460317,0.24726555,0,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_141__chunk_1,3,3,3,97.7396,94.907,5902.693,6095.3447
T006,How do I install VMware ESXi on a physical server?,false,technical_virtualization,VMware ESXi,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.05416418,0.00487171,0.04929247,0.79674628,0.027820122,0.01323675,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_262__chunk_2,2,4,22,88.0093,87.3461,5434.3592,5609.7192
T007,How do I add an ESXi host to VMware vCenter?,false,technical_virtualization,VMware vCenter,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00513004,0.00256043,0.00256961,0.8024708,0.0151515152,0.00247247,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_371__chunk_1,15,6,,76.8491,82.5626,7454.5232,7613.94
T008,How do I create a virtual machine in Proxmox VE?,false,technical_virtualization,Proxmox VE,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00106155,0.00083456,0.000227,0.80692334,0.0151515152,0.00061062,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_359__chunk_1,12,6,,71.8213,97.8916,5283.4473,5453.1659
T009,How do I create a virtual machine in XenServer?,false,technical_virtualization,XenServer,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.01152979,0.00590572,0.00562407,,0.0144927536,0.00496454,0,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_10,20,,9,100.6288,83.2696,5479.2383,5663.1419
T010,How do I configure Hyper-V Replica between two hosts?,false,technical_virtualization,Hyper-V Replica,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00042816,0.00041581,1.235e-05,,0.0147058824,0.00038801,0,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_95,20,,8,98.4124,98.3963,6130.0536,6326.8669
T011,How do I create a declarative pipeline in Jenkins?,false,technical_devops,Jenkins,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00995684,0.005612,0.00434484,0.80661297,0.025739237,0.0048342,0,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_7,11,47,1,80.4634,83.3301,5683.2618,5847.0602
T012,How do I register a runner for GitLab CI/CD?,false,technical_devops,GitLab CI/CD,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.42484868,0.11577714,0.30907153,0.81670147,0.0158730159,0.11787511,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_69__chunk_1,9,3,,71.3482,75.7309,5981.3859,6128.4714
T013,How do I configure a build agent in TeamCity?,false,technical_devops,TeamCity,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.03982979,0.01888509,0.0209447,0.80492921,0.0298276624,0.01597587,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_420__chunk_1,5,13,2,103.1431,88.5992,5326.7216,5518.4688
T014,How do I create a deployment plan in Atlassian Bamboo?,false,technical_devops,Atlassian Bamboo,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.68705916,0.08311243,0.60394674,,0.015625,0.15671789,1,well-architected__ai__design-principles.md,fixed__1024__well-architected__ai__design-principles.md__chunk_17,19,,4,70.3546,97.6946,5264.7009,5432.7547
T015,How do I synchronize an application with Argo CD?,false,technical_devops,Argo CD,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00804614,0.00490681,0.00313933,,0.0163934426,0.00280516,0,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_139__chunk_1,4,,1,83.4631,80.415,6603.3515,6767.2352
T016,How do I configure a MariaDB Galera Cluster?,false,technical_database,MariaDB Galera Cluster,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.99967504,0.99044621,0.00922883,0.79942694,0.0226549574,0.89970065,5,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_9,11,37,21,83.7017,86.8566,6131.1586,6301.7215
T017,How do I create a database and table space in IBM Db2?,false,technical_database,IBM Db2,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.01488451,0.01038851,0.004496,0.8139621,0.0277569392,0.00790577,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_105__chunk_1,4,2,26,83.1112,86.7295,6240.5749,6410.4212
T018,How do I configure PostgreSQL streaming replication?,false,technical_database,PostgreSQL Streaming Replication,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.79923826,0.02791585,0.77132242,0.83138747,0.0312805474,0.16772329,1,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_95,2,2,6,90.8119,101.2577,6380.5575,6572.6331
T019,How do I register a Linux server with Red Hat Satellite?,false,technical_system_administration,Red Hat Satellite,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.01078568,0.0034345,0.00735118,0.80145938,0.0163934426,0.00349943,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_49__chunk_1,2,1,,72.8445,82.2485,4725.0854,4880.1849
T020,How do I create and launch a job template in Ansible Tower?,false,technical_automation,Ansible Tower,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00447139,0.00101773,0.00345365,0.80561519,0.0258937521,0.00151866,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_432__chunk_0,7,22,13,77.4853,88.9752,6749.4637,6915.931
T021,How do I deploy an agent with Puppet Enterprise?,false,technical_automation,Puppet Enterprise,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.04970696,0.00367187,0.04603509,0.79191828,0.0260770975,0.0116751,0,en-us_azure_architecture.html,fixed__1024__en-us_azure_architecture.html__chunk_1,4,38,3,195.0584,178.895,6310.1239,6684.0847
T022,How do I bootstrap a node with Chef Infra?,false,technical_automation,Chef Infra,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00100966,0.00093808,7.158e-05,0.80275168,0.0294623656,0.00060259,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_405__chunk_0,2,2,15,84.7184,76.0876,5991.2316,6152.0423
T023,How do I create a project in Red Hat OpenShift?,false,technical_containers,Red Hat OpenShift,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.93649656,0.02025209,0.91624447,0.80285895,0.0281913838,0.19695848,1,well-architected__ai__design-principles.md,fixed__1024__well-architected__ai__design-principles.md__chunk_7,4,13,9,90.8839,96.7614,8334.81,8522.4594
T024,How do I import a Kubernetes cluster into Rancher?,false,technical_containers,Rancher,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.04350686,0.00328779,0.04021908,,0.0149253731,0.0102,0,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_95__chunk_1,19,,7,74.9132,81.3606,7151.5855,7307.8639
T025,How do I submit a job to a HashiCorp Nomad cluster?,false,technical_containers,HashiCorp Nomad,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.00031073,0.00027438,3.635e-05,0.79825532,0.0163934426,0.00018631,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_283__chunk_1,10,1,,95.2521,96.6581,7558.9868,7750.9026
T026,How do I build and run a container using Podman?,false,technical_containers,Podman,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.03958056,0.03335174,0.00622882,0.80699766,0.0243938498,0.01777997,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_105__chunk_1,9,16,29,85.4148,101.0838,5514.9766,5701.4791
T027,How do I configure a host for monitoring in Zabbix?,false,technical_monitoring,Zabbix,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.01918646,0.00665689,0.01252957,0.80337763,0.0153846154,0.00565595,0,well-architected__ai__design-principles.md,fixed__1024__well-architected__ai__design-principles.md__chunk_17,12,5,,84.257,90.9441,6358.4761,6533.6827
T028,How do I define a service check in Nagios Core?,false,technical_monitoring,Nagios,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.03572186,0.00964142,0.02608044,0.80556619,0.0161290323,0.00991387,0,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_58__chunk_1,7,2,,87.8215,102.7725,6121.6728,6312.2733
T029,How do I create a log input in Graylog?,false,technical_logging,Graylog,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.05447223,0.0172339,0.03723833,0.82788265,0.0327868852,0.01619321,0,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_109__chunk_1,1,1,1,82.0128,76.6603,7344.5615,7503.2415
T030,How do I create an index and ingest logs into Splunk Enterprise?,false,technical_logging,Splunk Enterprise,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.,5,0.06764058,0.01071505,0.05692553,0.806021,0.0208022189,0.01759966,0,well-architected__ai__design-principles.md,fixed__1024__well-architected__ai__design-principles.md__chunk_21,10,26,49,105.2234,94.5805,7724.3931,7924.2025
