id,question,answer,expected_source,gold_evidence,expected_source_canonical,format,source_exists,evidence_exists
Q015,What capabilities does Microsoft Foundry provide for generative AI development?,"It provides access to a model catalog, agent hosting, fine-tuning, evaluation tools, and responsible AI capabilities.",html\en-us_azure_architecture_ai-ml.html,"Microsoft Foundry provides access to a model catalog, agent hosting through Foundry Agent Service, fine-tuning, evaluation tools, and responsible AI capabilities.",en-us_azure_architecture_ai-ml.html,html,True,True
Q016,Which open-source frameworks are supported by Azure Machine Learning?,"Azure Machine Learning supports PyTorch, TensorFlow, and scikit-learn.",html\en-us_azure_architecture_ai-ml.html,"Azure Machine Learning supports open-source frameworks like PyTorch, TensorFlow, and scikit-learn.",en-us_azure_architecture_ai-ml.html,html,True,True
Q017,What type of platform is Microsoft Copilot Studio?,"It is a low-code platform for building, customizing, and deploying AI-powered agents.",html\en-us_azure_architecture_ai-ml.html,"A low-code platform for building, customizing, and deploying AI-powered agents.",en-us_azure_architecture_ai-ml.html,html,True,True
Q018,Which factors should be considered when choosing a database for an Azure workload?,"The choice depends on the data model, consistency requirements, query patterns, and operational preferences.",html\en-us_azure_architecture_data-guide.html,"The right database for your scenario depends on your data model, consistency requirements, query patterns, and operational preferences.",en-us_azure_architecture_data-guide.html,html,True,True
Q019,Which database deployment models are included in the Azure database portfolio?,"The portfolio includes PaaS offerings, IaaS options, and specialized services for specific workload patterns.",html\en-us_azure_architecture_data-guide.html,"The Azure database portfolio spans fully managed platform as a service (PaaS) offerings, infrastructure as a service (IaaS) options, and specialized services for specific workload patterns.",en-us_azure_architecture_data-guide.html,html,True,True
Q020,Why can Azure cloud design patterns be used outside Azure?,They are technology-agnostic and are suitable for any distributed system.,html\en-us_azure_architecture_patterns.html,"The following cloud design patterns are technology-agnostic, which makes them suitable for any distributed system.",en-us_azure_architecture_patterns.html,html,True,True
Q021,What should guide the selection of a cloud design pattern?,"The pattern should be selected according to the problem that needs to be solved, not according to the technology.",html\en-us_azure_architecture_patterns.html,"Choose a pattern based on the problem you need to solve, not the technology you want to use.",en-us_azure_architecture_patterns.html,html,True,True
Q022,What information can users find when browsing Azure architectures?,"They can find architecture diagrams, technology descriptions, real-world examples, and solution ideas.",html\en-us_azure_architecture_browse.html,"Find architecture diagrams and technology descriptions for reference architectures, real world examples of cloud architectures, and solution ideas for common workloads on Azure.",en-us_azure_architecture_browse.html,html,True,True
Q023,Does cloud adoption require an organization to move all applications out of its local datacenter?,No. Some applications can remain in a local datacenter while others are moved to the cloud.,pdf\enterprise_cloud_strategy.pdf,"the cloud is not an “either/or” proposition. It is certainly possible, and indeed in many cases desirable, to leave some applications running in a local, traditional datacenter while others are moved to the cloud.",enterprise_cloud_strategy.pdf,pdf,True,True
Q024,What are the five modernization approaches described in Enterprise Cloud Strategy?,"They are retire, replace, retain and wrap, rehost, and reenvision.",pdf\enterprise_cloud_strategy.pdf,"the most convenient way to think about modernization, which is commonly called “the five R’s”",enterprise_cloud_strategy.pdf,pdf,True,True
Q025,What does rehosting a legacy application involve?,It involves keeping the same basic functionality while moving the application to the cloud.,pdf\enterprise_cloud_strategy.pdf,"Rehosting involves keeping the same basic functionality, but moving it to the cloud where it is easier to manage and less expensive to run.",enterprise_cloud_strategy.pdf,pdf,True,True
Q026,What initial responsibility was assigned to the Cloud Strategy Team?,The team was responsible for leading cloud analysis and experimentation.,pdf\enterprise_cloud_strategy.pdf,The Cloud Strategy Team was chartered to lead the cloud analysis and experimentation phase previously described (see Figure 5-2).,enterprise_cloud_strategy.pdf,pdf,True,True
Q027,What type of storage service is Azure Table Storage?,It is a NoSQL key-value persistent medium for storing semi-structured data.,pdf\azure_serverless_computing_cookbook.pdf,"Azure Table storage, a NoSQL key-value persistent medium for storing semi-structured data.",azure_serverless_computing_cookbook.pdf,pdf,True,True
Q028,How does a SendGrid output binding authenticate when sending emails?,It uses the API key stored in the application settings.,pdf\azure_serverless_computing_cookbook.pdf,The SendGrid output (message) bindings will use the API key provided in the App settings to invoke the required APIs of the SendGrid library in order to send the emails.,azure_serverless_computing_cookbook.pdf,pdf,True,True
Q029,What kind of Azure service is Azure Data Factory?,Azure Data Factory is a cloud-native serverless solution from Microsoft Azure.,pdf\azure_serverless_computing_cookbook.pdf,Azure Data Factory is another cloud-native serverless solution from Microsoft Azure.,azure_serverless_computing_cookbook.pdf,pdf,True,True
Q030,Why can precompiled Azure Functions provide better performance?,They do not need to be compiled dynamically during execution.,pdf\azure_serverless_computing_cookbook.pdf,"Precompiled functions have better performance, as they aren't required to be compiled on the fly.",azure_serverless_computing_cookbook.pdf,pdf,True,True
